#TSS_Code	Source_Site	Study_Name	BCR
2Z	Moffitt_Cancer_Center	Kidney_renal_papillary_cell_carcinoma	NCH
30	Harvard	Ovarian_serous_cystadenocarcinoma	IGC
31	Imperial_College	Ovarian_serous_cystadenocarcinoma	IGC
32	St._Joseph's_Hospital_(AZ)	Glioblastoma_multiforme	IGC
33	Johns_Hopkins	Lung_squamous_cell_carcinoma	IGC
34	University_of_Pittsburgh	Lung_squamous_cell_carcinoma	IGC
35	Cureline	Lung_adenocarcinoma	IGC
36	BC_Cancer_Agency	Ovarian_serous_cystadenocarcinoma	IGC
37	Cureline	Lung_squamous_cell_carcinoma	IGC
38	UNC	Lung_adenocarcinoma	IGC
39	MSKCC	Lung_squamous_cell_carcinoma	IGC
3A	Moffitt_Cancer_Center	Pancreatic_adenocarcinoma	NCH
3B	Moffitt_Cancer_Center	Sarcoma	NCH
3C	Columbia_University	Breast_invasive_carcinoma	NCH
3E	Columbia_University	Pancreatic_adenocarcinoma	NCH
3G	MD_Anderson_Cancer_Center	Thymoma	NCH
3H	MD_Anderson_Cancer_Center	Mesothelioma	NCH
3J	Carle_Cancer_Center	Breast_invasive_carcinoma	NCH
3K	Boston_Medical_Center	Liver_hepatocellular_carcinoma	NCH
3L	Albert_Einstein_Medical_Center	Colon_adenocarcinoma	NCH
3M	University_of_Kansas_Medical_Center	Stomach_adenocarcinoma	NCH
3N	Greenville_Health_System	Skin_Cutaneous_Melanoma	NCH
3P	Greenville_Health_System	Ovarian_serous_cystadenocarcinoma	NCH
3Q	Greenville_Health_Systems	Thymoma	NCH
3R	University_of_New_Mexico	Sarcoma	NCH
3S	University_of_New_Mexico	Thymoma	NCH
3T	Emory_University	Thymoma	NCH
3U	University_of_Chicago	Mesothelioma	NCH
3W	University_of_California_San_Diego	Sarcoma	NCH
3X	Alberta_Health_Services	Cholangiocarcinoma	NCH
3Z	Mary_Bird_Perkins_Cancer_Center__Our_Lady_of_the_Lake	Kidney_renal_clear_cell_carcinoma	NCH
41	Christiana_Healthcare	Glioblastoma_multiforme	IGC
42	Christiana_Healthcare	Ovarian_serous_cystadenocarcinoma	IGC
43	Christiana_Healthcare	Lung_squamous_cell_carcinoma	IGC
44	Christiana_Healthcare	Lung_adenocarcinoma	IGC
46	St._Joseph's_Medical_Center_(MD)	Lung_squamous_cell_carcinoma	IGC
49	Johns_Hopkins	Lung_adenocarcinoma	IGC
4A	Mary_Bird_Perkins_Cancer_Center__Our_Lady_of_the_Lake	Kidney_renal_papillary_cell_carcinoma	NCH
4B	Mary_Bird_Perkins_Cancer_Center__Our_Lady_of_the_Lake	Lung_adenocarcinoma	NCH
4C	Mary_Bird_Perkins_Cancer_Center__Our_Lady_of_the_Lake	Thyroid_carcinoma	NCH
4D	Molecular_Response	Ovarian_serous_cystadenocarcinoma	NCH
4E	Molecular_Response	Uterine_Corpus_Endometrial_Carcinoma	NCH
4G	Sapienza_University_of_Rome	Cholangiocarcinoma	NCH
4H	Proteogenex_Inc.	Breast_invasive_carcinoma	NCH
4J	Proteogenex_Inc.	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
4K	Proteogenex_Inc.	Testicular_Germ_Cell_Tumors	NCH
4L	Proteogenex_Inc.	Prostate_adenocarcinoma	NCH
4N	Mary_Bird_Perkins_Cancer_Center__Our_Lady_of_the_Lake	Colon_adenocarcinoma	NCH
4P	Duke_University	Head_and_Neck_squamous_cell_carcinoma	NCH
4Q	Duke_University	Sarcoma	NCH
4R	Duke_University	Liver_hepatocellular_carcinoma	NCH
4S	Duke_University	Prostate_adenocarcinoma	NCH
4T	Duke_University	Colon_adenocarcinoma	NCH
4V	Hospital_Louis_Pradel	Thymoma	NCH
4W	University_of_Miami	Glioblastoma_multiforme	NCH
4X	Yale_University	Thymoma	NCH
4Y	Medical_College_of_Wisconsin	Sarcoma	NCH
4Z	Barretos_Cancer_Hospital	Bladder_Urothelial_Carcinoma	NCH
50	University_of_Pittsburgh	Lung_adenocarcinoma	IGC
51	UNC	Lung_squamous_cell_carcinoma	IGC
52	University_of_Miami	Lung_squamous_cell_carcinoma	IGC
53	University_of_Miami	Lung_adenocarcinoma	IGC
55	International_Genomics_Consortium	Lung_adenocarcinoma	IGC
56	International_Genomics_Consortium	Lung_squamous_cell_carcinoma	IGC
57	International_Genomics_Consortium	Ovarian_serous_cystadenocarcinoma	IGC
58	Thoraxklinik_at_University_Hospital_Heidelberg	Lung_squamous_cell_carcinoma	IGC
59	Roswell_Park	Ovarian_serous_cystadenocarcinoma	IGC
5A	Wake_Forest_University	Cholangiocarcinoma	NCH
5B	Medical_College_of_Wisconsin	Uterine_Corpus_Endometrial_Carcinoma	NCH
5C	Cureline	Liver_hepatocellular_carcinoma	NCH
5D	University_of_Miami	Sarcoma	NCH
5F	Duke_University	Thyroid_carcinoma	NCH
5G	Cleveland_Clinic_Foundation	Thymoma	NCH
5H	Retina_Consultants_Houston	Uveal_Melanoma	NCH
5J	Cureline	Acute_Myeloid_Leukemia	NCH
5K	St._Joseph's_Hospital_AZ	Thymoma	NCH
5L	University_of_Sao_Paulo	Breast_invasive_carcinoma	NCH
5M	University_of_Sao_Paulo	Colon_adenocarcinoma	NCH
5N	University_Hospital_Erlangen	Bladder_Urothelial_Carcinoma	NCH
5P	University_Hospital_Erlangen	Kidney_renal_papillary_cell_carcinoma	NCH
5Q	Proteogenex_Inc	Pancreatic_adenocarcinoma	NCH
5R	Proteogenex_Inc	Liver_hepatocellular_carcinoma	NCH
5S	Holy_Cross	Uterine_Corpus_Endometrial_Carcinoma	NCH
5T	Holy_Cross	Breast_invasive_carcinoma	NCH
5U	Regina_Elena_National_Cancer_Institute	Thymoma	NCH
5V	Roswell_Park	Thymoma	NCH
5W	University_of_Alabama	Uterine_Corpus_Endometrial_Carcinoma	NCH
5X	University_of_Alabama	Ovarian_serous_cystadenocarcinoma	NCH
60	Roswell_Park	Lung_squamous_cell_carcinoma	IGC
61	University_of_Pittsburgh	Ovarian_serous_cystadenocarcinoma	IGC
62	Thoraxklinik_at_University_Hospital_Heidelberg	Lung_adenocarcinoma	IGC
63	Ontario_Institute_for_Cancer_Research	Lung_squamous_cell_carcinoma	IGC
64	Fox_Chase	Lung_adenocarcinoma	IGC
65	Roswell_Park	Glioblastoma_multiforme	IGC
66	Indivumed	Lung_squamous_cell_carcinoma	IGC
67	St_Joseph's_Medical_Center_(MD)	Lung_adenocarcinoma	IGC
68	Washington_University__Cleveland_Clinic	Lung_squamous_cell_carcinoma	IGC
69	Washington_University__Cleveland_Clinic	Lung_adenocarcinoma	IGC
6A	University_of_Kansas	Lung_squamous_cell_carcinoma	NCH
6D	University_of_Oklahoma_HSC	Kidney_renal_clear_cell_carcinoma	NCH
6G	University_of_Sao_Paulo	Rectum_adenocarcinoma	NCH
6H	Test_For_lcml	Chronic_Myelogenous_Leukemia	NCH
70	ILSBio	Lung_squamous_cell_carcinoma	IGC
71	ILSBio	Lung_adenocarcinoma	IGC
72	NCH	Ovarian_serous_cystadenocarcinoma	IGC
73	Roswell_Park	Lung_adenocarcinoma	IGC
74	Swedish_Neurosciences	Glioblastoma_multiforme	IGC
75	Ontario_Institute_for_Cancer_Research_(OICR)	Lung_adenocarcinoma	IGC
76	Thomas_Jefferson_University	Glioblastoma_multiforme	IGC
77	Prince_Charles_Hospital	Lung_squamous_cell_carcinoma	IGC
78	Prince_Charles_Hospital	Lung_adenocarcinoma	IGC
79	Ontario_Institute_for_Cancer_Research_(OICR)/Ottawa	Lung_squamous_cell_carcinoma	IGC
80	Ontario_Institute_for_Cancer_Research_(OICR)/Ottawa	Lung_adenocarcinoma	IGC
81	CHIPenrose_Colorado	Glioblastoma_multiforme	IGC
82	CHIPenrose_Colorado	Lung_squamous_cell_carcinoma	IGC
83	CHIPenrose_Colorado	Lung_adenocarcinoma	IGC
85	Asterand	Lung_squamous_cell_carcinoma	IGC
86	Asterand	Lung_adenocarcinoma	IGC
87	International_Genomics_Consortium	Glioblastoma_multiforme	IGC
90	ABS__IUPUI	Lung_squamous_cell_carcinoma	IGC
91	ABS__IUPUI	Lung_adenocarcinoma	IGC
92	Washington_University__St._Louis	Lung_squamous_cell_carcinoma	IGC
93	Washington_University__St._Louis	Lung_adenocarcinoma	IGC
94	Washington_University__Emory	Lung_squamous_cell_carcinoma	IGC
95	Washington_University__Emory	Lung_adenocarcinoma	IGC
96	Washington_University__NYU	Lung_squamous_cell_carcinoma	IGC
97	Washington_University__NYU	Lung_adenocarcinoma	IGC
98	Washington_University__Alabama	Lung_squamous_cell_carcinoma	IGC
99	Washington_University__Alabama	Lung_adenocarcinoma	IGC
A1	UCSF	Breast_invasive_carcinoma	NCH
A2	Walter_Reed	Breast_invasive_carcinoma	NCH
A3	International_Genomics_Consortium	Kidney_renal_clear_cell_carcinoma	IGC
A4	International_Genomics_Consortium	Kidney_renal_papillary_cell_carcinoma	IGC
A5	Cedars_Sinai	Uterine_Corpus_Endometrial_Carcinoma	NCH
A6	Christiana_Healthcare	Colon_adenocarcinoma	IGC
A7	Christiana_Healthcare	Breast_invasive_carcinoma	NCH
A8	Indivumed	Breast_invasive_carcinoma	NCH
AA	Indivumed	Colon_adenocarcinoma	IGC
AB	Washington_University	Acute_Myeloid_Leukemia	NCH
AC	International_Genomics_Consortium	Breast_invasive_carcinoma	NCH
AD	International_Genomics_Consortium	Colon_adenocarcinoma	IGC
AF	Christiana_Healthcare	Rectum_adenocarcinoma	IGC
AG	Indivumed	Rectum_adenocarcinoma	IGC
AH	International_Genomics_Consortium	Rectum_adenocarcinoma	IGC
AJ	International_Genomics_Conosrtium	Uterine_Corpus_Endometrial_Carcinoma	NCH
AK	Fox_Chase	Kidney_renal_clear_cell_carcinoma	IGC
AL	Fox_Chase	Kidney_renal_papillary_cell_carcinoma	IGC
AM	Cureline	Colon_adenocarcinoma	IGC
AN	Cureline	Breast_invasive_carcinoma	NCH
AO	MSKCC	Breast_invasive_carcinoma	NCH
AP	MSKCC	Uterine_Corpus_Endometrial_Carcinoma	NCH
AQ	UNC	Breast_invasive_carcinoma	NCH
AR	Mayo	Breast_invasive_carcinoma	NCH
AS	St._Joseph's_Medical_Center(MD)	Kidney_renal_clear_cell_carcinoma	IGC
AT	St._Joseph's_Medical_Center(MD)	Kidney_renal_papillary_cell_carcinoma	IGC
AU	St._Joseph's_Medical_Center(MD)	Colon_adenocarcinoma	IGC
AV	NCH	Cell_Line_Control	NCH
AW	Cureline	Uterine_Corpus_Endometrial_Carcinoma	NCH
AX	Gynecologic_Oncology_Group	Uterine_Corpus_Endometrial_Carcinoma	NCH
AY	UNC	Colon_adenocarcinoma	IGC
AZ	University_of_Pittsburgh	Colon_adenocarcinoma	IGC
B0	University_of_Pittsburgh	Kidney_renal_clear_cell_carcinoma	IGC
B1	University_of_Pittsburgh	Kidney_renal_papillary_cell_carcinoma	IGC
B2	Christiana_Healthcare	Kidney_renal_clear_cell_carcinoma	IGC
B3	Christiana_Healthcare	Kidney_renal_papillary_cell_carcinoma	IGC
B4	Cureline	Kidney_renal_clear_cell_carcinoma	IGC
B5	Duke	Uterine_Corpus_Endometrial_Carcinoma	NCH
B6	Duke	Breast_invasive_carcinoma	NCH
B7	Cureline	Stomach_adenocarcinoma	IGC
B8	UNC	Kidney_renal_clear_cell_carcinoma	IGC
B9	UNC	Kidney_renal_papillary_cell_carcinoma	IGC
BA	UNC	Head_and_Neck_squamous_cell_carcinoma	IGC
BB	Johns_Hopkins	Head_and_Neck_squamous_cell_carcinoma	IGC
BC	UNC	Liver_hepatocellular_carcinoma	NCH
BD	University_of_Pittsburgh	Liver_hepatocellular_carcinoma	NCH
BF	Cureline	Skin_Cutaneous_Melanoma	NCH
BG	University_of_Pittsburgh	Uterine_Corpus_Endometrial_Carcinoma	NCH
BH	University_of_Pittsburgh	Breast_invasive_carcinoma	NCH
BI	University_of_Pittsburgh	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
BJ	University_of_Pittsburgh	Thyroid_carcinoma	IGC
BK	Christiana_Healthcare	Uterine_Corpus_Endometrial_Carcinoma	NCH
BL	Christiana_Healthcare	Bladder_Urothelial_Carcinoma	NCH
BM	UNC	Rectum_adenocarcinoma	IGC
BP	MSKCC	Kidney_renal_clear_cell_carcinoma	IGC
BQ	MSKCC	Kidney_renal_papillary_cell_carcinoma	IGC
BR	Asterand	Stomach_adenocarcinoma	IGC
BS	University_of_Hawaii	Uterine_Corpus_Endometrial_Carcinoma	NCH
BT	University_of_Pittsburgh	Bladder_Urothelial_Carcinoma	NCH
BW	St._Joseph's_Medical_Center(MD)	Liver_hepatocellular_carcinoma	NCH
C4	Indivumed	Bladder_Urothelial_Carcinoma	NCH
C5	Medical_College_of_Wisconsin	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
C8	ILSBio	Breast_invasive_carcinoma	NCH
C9	ILSBio	Head_and_Neck_squamous_cell_carcinoma	NCH
CA	ILSBio	Colon_adenocarcinoma	IGC
CB	ILSBio	Kidney_renal_clear_cell_carcinoma	IGC
CC	ILSBio	Liver_hepatocellular_carcinoma	NCH
CD	ILSBio	Stomach_adenocarcinoma	IGC
CE	ILSBio	Thyroid_carcinoma	IGC
CF	ILSBio	Bladder_Urothelial_Carcinoma	NCH
CG	Indivumed	Stomach_adenocarcinoma	IGC
CH	Indivumed	Prostate_adenocarcinoma	IGC
CI	University_of_Pittsburgh	Rectum_adenocarcinoma	IGC
CJ	MD_Anderson_Cancer_Center	Kidney_renal_clear_cell_carcinoma	IGC
CK	Harvard	Colon_adenocarcinoma	IGC
CL	Harvard	Rectum_adenocarcinoma	IGC
CM	MSKCC	Colon_adenocarcinoma	IGC
CN	University_of_Pittsburgh	Head_and_Neck_squamous_cell_carcinoma	IGC
CQ	University_Health_Network_Toronto	Head_and_Neck_squamous_cell_carcinoma	IGC
CR	Vanderbilt_University	Head_and_Neck_squamous_cell_carcinoma	IGC
CS	Thomas_Jefferson_University	Brain_Lower_Grade_Glioma	IGC
CU	UNC	Bladder_Urothelial_Carcinoma	NCH
CV	MD_Anderson_Cancer_Center	Head_and_Neck_squamous_cell_carcinoma	IGC
CW	Mayo_Clinic__Rochester	Kidney_renal_clear_cell_carcinoma	IGC
CX	Medical_College_of_Georgia	Head_and_Neck_squamous_cell_carcinoma	IGC
CZ	Harvard	Kidney_renal_clear_cell_carcinoma	IGC
D1	Mayo_Clinic	Uterine_Corpus_Endometrial_Carcinoma	NCH
D3	MD_Anderson	Skin_Cutaneous_Melanoma	NCH
D5	Greater_Poland_Cancer_Center	Colon_adenocarcinoma	IGC
D6	Greater_Poland_Cancer_Center	Head_and_Neck_squamous_cell_carcinoma	IGC
D7	Greater_Poland_Cancer_Center	Stomach_adenocarcinoma	IGC
D8	Greater_Poland_Cancer_Center	Breast_invasive_carcinoma	NCH
D9	Greater_Poland_Cancer_Center	Skin_Cutaneous_Melanoma	NCH
DA	Yale	Skin_Cutaneous_Melanoma	NCH
DB	Mayo_Clinic__Rochester	Brain_Lower_Grade_Glioma	IGC
DC	MSKCC	Rectum_adenocarcinoma	IGC
DD	Mayo_Clinic__Rochester	Liver_hepatocellular_carcinoma	NCH
DE	University_of_North_Carolina	Thyroid_carcinoma	NCH
DF	Ontario_Institute_for_Cancer_Research	Uterine_Corpus_Endometrial_Carcinoma	NCH
DG	Ontario_Institute_for_Cancer_Research	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
DH	University_of_Florida	Brain_Lower_Grade_Glioma	IGC
DI	MD_Anderson	Uterine_Corpus_Endometrial_Carcinoma	NCH
DJ	Memorial_Sloan_Kettering	Thyroid_carcinoma	NCH
DK	Memorial_Sloan_Kettering	Bladder_Urothelial_Carcinoma	NCH
DM	University_Of_Michigan	Colon_adenocarcinoma	NCH
DO	Medical_College_of_Georgia	Thyroid_carcinoma	NCH
DQ	University_Of_Michigan	Head_and_Neck_squamous_cell_carcinoma	IGC
DR	University_of_Hawaii	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
DS	Cedars_Sinai	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
DT	ILSBio	Rectum_adenocarcinoma	IGC
DU	Henry_Ford_Hospital	Brain_Lower_Grade_Glioma	IGC
DV	NCI_Urologic_Oncology_Branch	Kidney_renal_clear_cell_carcinoma	IGC
DW	NCI_Urologic_Oncology_Branch	Kidney_renal_papillary_cell_carcinoma	IGC
DX	Memorial_Sloan_Kettering	Sarcoma	NCH
DY	University_Of_Michigan	Rectum_adenocarcinoma	NCH
DZ	Mayo_Clinic__Rochester	Kidney_renal_papillary_cell_carcinoma	IGC
E1	Duke	Brain_Lower_Grade_Glioma	IGC
E2	Roswell_Park	Breast_invasive_carcinoma	NCH
E3	Roswell_Park	Thyroid_carcinoma	NCH
E5	Roswell_Park	Bladder_Urothelial_Carcinoma	NCH
E6	Roswell_Park	Uterine_Corpus_Endometrial_Carcinoma	NCH
E7	Asterand	Bladder_Urothelial_Carcinoma	NCH
E8	Asterand	Thyroid_carcinoma	NCH
E9	Asterand	Breast_invasive_carcinoma	NCH
EA	Asterand	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
EB	Asterand	Skin_Cutaneous_Melanoma	NCH
EC	Asterand	Uterine_Corpus_Endometrial_Carcinoma	NCH
ED	Asterand	Liver_hepatocellular_carcinoma	NCH
EE	University_of_Sydney	Skin_Cutaneous_Melanoma	NCH
EF	Cureline	Rectum_adenocarcinoma	IGC
EI	Greater_Poland_Cancer_Center	Rectum_adenocarcinoma	IGC
EJ	University_of_Pittsburgh	Prostate_adenocarcinoma	IGC
EK	Gynecologic_Oncology_Group	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
EL	MD_Anderson	Thyroid_carcinoma	NCH
EM	University_Health_Network	Thyroid_carcinoma	NCH
EO	University_Health_Network	Uterine_Corpus_Endometrial_Carcinoma	NCH
EP	Christiana_Healthcare	Liver_hepatocellular_carcinoma	NCH
EQ	Christiana_Healthcare	Stomach_adenocarcinoma	IGC
ER	University_of_Pittsburgh	Skin_Cutaneous_Melanoma	NCH
ES	University_of_Florida	Liver_hepatocellular_carcinoma	NCH
ET	Johns_Hopkins	Thyroid_carcinoma	NCH
EU	CHIPenrose_Colorado	Kidney_renal_clear_cell_carcinoma	IGC
EV	CHIPenrose_Colorado	Kidney_renal_papillary_cell_carcinoma	IGC
EW	University_of_Miami	Breast_invasive_carcinoma	NCH
EX	University_of_North_Carolina	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
EY	University_of_North_Carolina	Uterine_Corpus_Endometrial_Carcinoma	NCH
EZ	UNC	Brain_Lower_Grade_Glioma	IGC
F1	UNC	Stomach_adenocarcinoma	IGC
F2	UNC	Pancreatic_adenocarcinoma	IGC
F4	Asterand	Colon_adenocarcinoma	IGC
F5	Asterand	Rectum_adenocarcinoma	IGC
F6	Asterand	Brain_Lower_Grade_Glioma	IGC
F7	Asterand	Head_and_Neck_squamous_cell_carcinoma	IGC
F9	Asterand	Kidney_renal_papillary_cell_carcinoma	IGC
FA	Asterand	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
FB	Asterand	Pancreatic_adenocarcinoma	IGC
FC	Asterand	Prostate_adenocarcinoma	IGC
FD	BLN__University_Of_Chicago	Bladder_Urothelial_Carcinoma	NCH
FE	Ohio_State_University	Thyroid_carcinoma	NCH
FF	SingHealth	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
FG	Case_Western	Brain_Lower_Grade_Glioma	IGC
FH	CHIPenrose_Colorado	Thyroid_carcinoma	NCH
FI	Washington_University	Uterine_Corpus_Endometrial_Carcinoma	NCH
FJ	BLN__Baylor	Bladder_Urothelial_Carcinoma	NCH
FK	Johns_Hopkins	Thyroid_carcinoma	NCH
FL	University_of_Hawaii__Normal_Study	Uterine_Corpus_Endometrial_Carcinoma	NCH
FM	International_Genomics_Consortium	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
FN	International_Genomics_Consortium	Brain_Lower_Grade_Glioma	IGC
FP	International_Genomics_Consortium	Stomach_adenocarcinoma	IGC
FQ	Johns_Hopkins	Pancreatic_adenocarcinoma	IGC
FR	University_of_North_Carolina	Skin_Cutaneous_Melanoma	NCH
FS	Essen	Skin_Cutaneous_Melanoma	NCH
FT	BLN__University_of_Miami	Bladder_Urothelial_Carcinoma	NCH
FU	International_Genomics_Consortium	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
FV	International_Genomics_Consortium	Liver_hepatocellular_carcinoma	NCH
FW	International_Genomics_Consortium	Skin_Cutaneous_Melanoma	NCH
FX	International_Genomics_Consortium	Sarcoma	NCH
FY	International_Genomics_Consortium	Thyroid_carcinoma	NCH
FZ	University_of_Pittsburgh	Pancreatic_adenocarcinoma	IGC
G2	MD_Anderson	Bladder_Urothelial_Carcinoma	NCH
G3	Alberta_Health_Services	Liver_hepatocellular_carcinoma	NCH
G4	Roswell_Park	Colon_adenocarcinoma	IGC
G5	Roswell_Park	Rectum_adenocarcinoma	IGC
G6	Roswell_Park	Kidney_renal_clear_cell_carcinoma	IGC
G7	Roswell_Park	Kidney_renal_papillary_cell_carcinoma	IGC
G8	Roswell_Park	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
G9	Roswell_Park	Prostate_adenocarcinoma	IGC
GC	International_Genomics_Consortium	Bladder_Urothelial_Carcinoma	NCH
GD	ABS__IUPUI	Bladder_Urothelial_Carcinoma	NCH
GE	ABS__IUPUI	Thyroid_carcinoma	NCH
GF	ABS__IUPUI	Skin_Cutaneous_Melanoma	NCH
GG	ABS__IUPUI	Uterine_Corpus_Endometrial_Carcinoma	NCH
GH	ABS__IUPUI	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
GI	ABS__IUPUI	Breast_invasive_carcinoma	NCH
GJ	ABS__IUPUI	Liver_hepatocellular_carcinoma	NCH
GK	ABS__IUPUI	Kidney_renal_clear_cell_carcinoma	IGC
GL	ABS__IUPUI	Kidney_renal_papillary_cell_carcinoma	IGC
GM	MD_Anderson	Breast_invasive_carcinoma	NCH
GN	Roswell	Skin_Cutaneous_Melanoma	NCH
GP	MD_Anderson	Acute_Myeloid_Leukemia	NCH
GR	University_of_Nebraska_Medical_Center_(UNMC)	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
GS	Fundacio_Clinic_per_a_la_Recerca_Biomedica	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
GU	BLN__UT_Southwestern_Medical_Center_at_Dallas	Bladder_Urothelial_Carcinoma	NCH
GV	BLN__Cleveland_Clinic	Bladder_Urothelial_Carcinoma	NCH
GZ	BC_Cancer_Agency	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
H1	Medical_College_of_Georgia	Stomach_adenocarcinoma	IGC
H2	Christiana_Healthcare	Thyroid_carcinoma	NCH
H3	ABS__IUPUI	Lymphoid_Neoplasm_Diffuse_Large_Bcell_Lymphoma	IGC
H4	Medical_College_of_Georgia	Bladder_Urothelial_Carcinoma	NCH
H5	Medical_College_of_Georgia	Uterine_Corpus_Endometrial_Carcinoma	NCH
H6	Christiana_Healthcare	Pancreatic_adenocarcinoma	IGC
H7	ABS__IUPUI	Head_and_Neck_squamous_cell_carcinoma	IGC
H8	ABS__IUPUI	Pancreatic_adenocarcinoma	IGC
H9	ABS__IUPUI	Prostate_adenocarcinoma	IGC
HA	Alberta_Health_Services	Stomach_adenocarcinoma	IGC
HB	University_of_North_Carolina	Sarcoma	NCH
HC	International_Genomics_Consortium	Prostate_adenocarcinoma	IGC
HD	International_Genomics_Consortium	Head_and_Neck_squamous_cell_carcinoma	IGC
HE	Ontario_Institute_for_Cancer_Research_(OICR)	Kidney_renal_papillary_cell_carcinoma	IGC
HF	Ontario_Institute_for_Cancer_Research_(OICR)	Stomach_adenocarcinoma	IGC
HG	Roswell_Park	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
HH	Fox_Chase	Stomach_adenocarcinoma	IGC
HI	Fox_Chase	Prostate_adenocarcinoma	IGC
HJ	Fox_Chase	Stomach_adenocarcinoma	IGC
HK	Fox_Chase	Brain_Lower_Grade_Glioma	IGC
HL	Fox_Chase	Head_and_Neck_squamous_cell_carcinoma	IGC
HM	Christiana_Healthcare	Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma	NCH
HN	Ontario_Institute_for_Cancer_Research_(OICR)	Breast_invasive_carcinoma	NCH
